Basic,Delux,Total,days_ago,datetime,Year,Month,WorkWeek
9,8,93,952,2017-04-06,2017,04,14
11,3,73,951,2017-04-07,2017,04,14
14,5,100,950,2017-04-08,2017,04,14
3,7,57,949,2017-04-09,2017,04,14
2,15,100,948,2017-04-10,2017,04,15
10,6,86,947,2017-04-11,2017,04,15
5,8,73,946,2017-04-12,2017,04,15
11,2,67,945,2017-04-13,2017,04,15
3,7,57,944,2017-04-14,2017,04,15
8,14,124,943,2017-04-15,2017,04,15
12,15,150,942,2017-04-16,2017,04,15
13,4,89,941,2017-04-17,2017,04,16
6,8,78,940,2017-04-18,2017,04,16
11,2,67,939,2017-04-19,2017,04,16
10,12,122,938,2017-04-20,2017,04,16
8,15,130,937,2017-04-21,2017,04,16
3,10,75,936,2017-04-22,2017,04,16
8,5,70,935,2017-04-23,2017,04,16
11,1,61,934,2017-04-24,2017,04,17
9,6,81,933,2017-04-25,2017,04,17
4,11,86,932,2017-04-26,2017,04,17
2,6,46,931,2017-04-27,2017,04,17
14,4,94,930,2017-04-28,2017,04,17
11,15,145,929,2017-04-29,2017,04,17
12,7,102,928,2017-04-30,2017,04,17
6,10,90,927,2017-05-01,2017,05,18
15,2,87,926,2017-05-02,2017,05,18
13,4,89,925,2017-05-03,2017,05,18
10,1,56,924,2017-05-04,2017,05,18
9,10,105,923,2017-05-05,2017,05,18
5,9,79,922,2017-05-06,2017,05,18
14,5,100,921,2017-05-07,2017,05,18
14,14,154,920,2017-05-08,2017,05,19
10,10,110,919,2017-05-09,2017,05,19
13,12,137,918,2017-05-10,2017,05,19
12,4,84,917,2017-05-11,2017,05,19
7,11,101,916,2017-05-12,2017,05,19
10,11,116,915,2017-05-13,2017,05,19
8,14,124,914,2017-05-14,2017,05,19
8,3,58,913,2017-05-15,2017,05,20
12,3,78,912,2017-05-16,2017,05,20
14,6,106,911,2017-05-17,2017,05,20
2,15,100,910,2017-05-18,2017,05,20
3,12,87,909,2017-05-19,2017,05,20
11,10,115,908,2017-05-20,2017,05,20
15,3,93,907,2017-05-21,2017,05,20
10,12,122,906,2017-05-22,2017,05,21
13,7,107,905,2017-05-23,2017,05,21
3,5,45,904,2017-05-24,2017,05,21
1,2,17,903,2017-05-25,2017,05,21
7,6,71,902,2017-05-26,2017,05,21
11,9,109,901,2017-05-27,2017,05,21
12,6,96,900,2017-05-28,2017,05,21
2,2,22,899,2017-05-29,2017,05,22
13,3,83,898,2017-05-30,2017,05,22
8,7,82,897,2017-05-31,2017,05,22
12,3,78,896,2017-06-01,2017,06,22
8,4,64,895,2017-06-02,2017,06,22
5,13,103,894,2017-06-03,2017,06,22
14,14,154,893,2017-06-04,2017,06,22
9,9,99,892,2017-06-05,2017,06,23
15,3,93,891,2017-06-06,2017,06,23
4,6,56,890,2017-06-07,2017,06,23
6,10,90,889,2017-06-08,2017,06,23
11,10,115,888,2017-06-09,2017,06,23
6,10,90,887,2017-06-10,2017,06,23
2,13,88,886,2017-06-11,2017,06,23
12,8,108,885,2017-06-12,2017,06,24
4,10,80,884,2017-06-13,2017,06,24
2,4,34,883,2017-06-14,2017,06,24
3,14,99,882,2017-06-15,2017,06,24
6,14,114,881,2017-06-16,2017,06,24
12,2,72,880,2017-06-17,2017,06,24
9,15,135,879,2017-06-18,2017,06,24
11,1,61,878,2017-06-19,2017,06,25
14,10,130,877,2017-06-20,2017,06,25
10,2,62,876,2017-06-21,2017,06,25
1,12,77,875,2017-06-22,2017,06,25
12,3,78,874,2017-06-23,2017,06,25
2,5,40,873,2017-06-24,2017,06,25
5,10,85,872,2017-06-25,2017,06,25
11,12,127,871,2017-06-26,2017,06,26
5,4,49,870,2017-06-27,2017,06,26
14,8,118,869,2017-06-28,2017,06,26
2,13,88,868,2017-06-29,2017,06,26
14,14,154,867,2017-06-30,2017,06,26
11,4,79,866,2017-07-01,2017,07,26
13,14,149,865,2017-07-02,2017,07,26
14,12,142,864,2017-07-03,2017,07,27
15,2,87,863,2017-07-04,2017,07,27
7,13,113,862,2017-07-05,2017,07,27
2,6,46,861,2017-07-06,2017,07,27
9,2,57,860,2017-07-07,2017,07,27
6,10,90,859,2017-07-08,2017,07,27
9,12,117,858,2017-07-09,2017,07,27
1,14,89,857,2017-07-10,2017,07,28
11,6,91,856,2017-07-11,2017,07,28
6,8,78,855,2017-07-12,2017,07,28
9,14,129,854,2017-07-13,2017,07,28
9,4,69,853,2017-07-14,2017,07,28
8,14,124,852,2017-07-15,2017,07,28
15,1,81,851,2017-07-16,2017,07,28
14,12,142,850,2017-07-17,2017,07,29
13,2,77,849,2017-07-18,2017,07,29
7,2,47,848,2017-07-19,2017,07,29
13,4,89,847,2017-07-20,2017,07,29
6,13,108,846,2017-07-21,2017,07,29
12,15,150,845,2017-07-22,2017,07,29
5,6,61,844,2017-07-23,2017,07,29
15,6,111,843,2017-07-24,2017,07,30
10,14,134,842,2017-07-25,2017,07,30
2,5,40,841,2017-07-26,2017,07,30
14,5,100,840,2017-07-27,2017,07,30
11,11,121,839,2017-07-28,2017,07,30
1,8,53,838,2017-07-29,2017,07,30
12,10,120,837,2017-07-30,2017,07,30
4,15,110,836,2017-07-31,2017,07,31
9,15,135,835,2017-08-01,2017,08,31
14,11,136,834,2017-08-02,2017,08,31
8,3,58,833,2017-08-03,2017,08,31
2,15,100,832,2017-08-04,2017,08,31
4,4,44,831,2017-08-05,2017,08,31
13,7,107,830,2017-08-06,2017,08,31
3,1,21,829,2017-08-07,2017,08,32
15,15,165,828,2017-08-08,2017,08,32
8,6,76,827,2017-08-09,2017,08,32
5,13,103,826,2017-08-10,2017,08,32
15,14,159,825,2017-08-11,2017,08,32
8,10,100,824,2017-08-12,2017,08,32
15,5,105,823,2017-08-13,2017,08,32
9,9,99,822,2017-08-14,2017,08,33
14,2,82,821,2017-08-15,2017,08,33
5,15,115,820,2017-08-16,2017,08,33
15,13,153,819,2017-08-17,2017,08,33
8,8,88,818,2017-08-18,2017,08,33
3,6,51,817,2017-08-19,2017,08,33
9,13,123,816,2017-08-20,2017,08,33
14,9,124,815,2017-08-21,2017,08,34
4,15,110,814,2017-08-22,2017,08,34
15,5,105,813,2017-08-23,2017,08,34
2,9,64,812,2017-08-24,2017,08,34
11,3,73,811,2017-08-25,2017,08,34
8,7,82,810,2017-08-26,2017,08,34
7,2,47,809,2017-08-27,2017,08,34
14,3,88,808,2017-08-28,2017,08,35
6,15,120,807,2017-08-29,2017,08,35
13,8,113,806,2017-08-30,2017,08,35
13,13,143,805,2017-08-31,2017,08,35
8,1,46,804,2017-09-01,2017,09,35
15,15,165,803,2017-09-02,2017,09,35
1,6,41,802,2017-09-03,2017,09,35
13,6,101,801,2017-09-04,2017,09,36
4,8,68,800,2017-09-05,2017,09,36
9,14,129,799,2017-09-06,2017,09,36
9,7,87,798,2017-09-07,2017,09,36
13,6,101,797,2017-09-08,2017,09,36
5,9,79,796,2017-09-09,2017,09,36
13,2,77,795,2017-09-10,2017,09,36
6,8,78,794,2017-09-11,2017,09,37
12,2,72,793,2017-09-12,2017,09,37
11,9,109,792,2017-09-13,2017,09,37
7,13,113,791,2017-09-14,2017,09,37
13,12,137,790,2017-09-15,2017,09,37
1,10,65,789,2017-09-16,2017,09,37
12,3,78,788,2017-09-17,2017,09,37
7,12,107,787,2017-09-18,2017,09,38
14,15,160,786,2017-09-19,2017,09,38
4,1,26,785,2017-09-20,2017,09,38
5,1,31,784,2017-09-21,2017,09,38
2,2,22,783,2017-09-22,2017,09,38
9,6,81,782,2017-09-23,2017,09,38
12,8,108,781,2017-09-24,2017,09,38
3,8,63,780,2017-09-25,2017,09,39
11,8,103,779,2017-09-26,2017,09,39
4,11,86,778,2017-09-27,2017,09,39
11,1,61,777,2017-09-28,2017,09,39
5,1,31,776,2017-09-29,2017,09,39
1,15,95,775,2017-09-30,2017,09,39
4,2,32,774,2017-10-01,2017,10,39
11,6,91,773,2017-10-02,2017,10,40
5,6,61,772,2017-10-03,2017,10,40
15,9,129,771,2017-10-04,2017,10,40
2,5,40,770,2017-10-05,2017,10,40
9,11,111,769,2017-10-06,2017,10,40
15,7,117,768,2017-10-07,2017,10,40
6,5,60,767,2017-10-08,2017,10,40
11,4,79,766,2017-10-09,2017,10,41
7,14,119,765,2017-10-10,2017,10,41
2,11,76,764,2017-10-11,2017,10,41
3,1,21,763,2017-10-12,2017,10,41
6,2,42,762,2017-10-13,2017,10,41
13,1,71,761,2017-10-14,2017,10,41
13,10,125,760,2017-10-15,2017,10,41
2,15,100,759,2017-10-16,2017,10,42
7,2,47,758,2017-10-17,2017,10,42
7,4,59,757,2017-10-18,2017,10,42
15,11,141,756,2017-10-19,2017,10,42
9,8,93,755,2017-10-20,2017,10,42
10,4,74,754,2017-10-21,2017,10,42
10,7,92,753,2017-10-22,2017,10,42
8,7,82,752,2017-10-23,2017,10,43
5,1,31,751,2017-10-24,2017,10,43
13,12,137,750,2017-10-25,2017,10,43
14,8,118,749,2017-10-26,2017,10,43
3,13,93,748,2017-10-27,2017,10,43
3,4,39,747,2017-10-28,2017,10,43
9,2,57,746,2017-10-29,2017,10,43
3,9,69,745,2017-10-30,2017,10,44
4,3,38,744,2017-10-31,2017,10,44
4,4,44,743,2017-11-01,2017,11,44
7,11,101,742,2017-11-02,2017,11,44
9,5,75,741,2017-11-03,2017,11,44
7,1,41,740,2017-11-04,2017,11,44
1,9,59,739,2017-11-05,2017,11,44
4,13,98,738,2017-11-06,2017,11,45
12,10,120,737,2017-11-07,2017,11,45
1,4,29,736,2017-11-08,2017,11,45
5,14,109,735,2017-11-09,2017,11,45
5,13,103,734,2017-11-10,2017,11,45
4,8,68,733,2017-11-11,2017,11,45
12,6,96,732,2017-11-12,2017,11,45
2,12,82,731,2017-11-13,2017,11,46
15,12,147,730,2017-11-14,2017,11,46
12,12,132,729,2017-11-15,2017,11,46
9,2,57,728,2017-11-16,2017,11,46
14,5,100,727,2017-11-17,2017,11,46
3,10,75,726,2017-11-18,2017,11,46
4,5,50,725,2017-11-19,2017,11,46
15,7,117,724,2017-11-20,2017,11,47
4,6,56,723,2017-11-21,2017,11,47
14,7,112,722,2017-11-22,2017,11,47
5,6,61,721,2017-11-23,2017,11,47
15,12,147,720,2017-11-24,2017,11,47
12,8,108,719,2017-11-25,2017,11,47
6,10,90,718,2017-11-26,2017,11,47
3,15,105,717,2017-11-27,2017,11,48
9,1,51,716,2017-11-28,2017,11,48
11,12,127,715,2017-11-29,2017,11,48
13,4,89,714,2017-11-30,2017,11,48
7,3,53,713,2017-12-01,2017,12,48
8,1,46,712,2017-12-02,2017,12,48
3,11,81,711,2017-12-03,2017,12,48
11,15,145,710,2017-12-04,2017,12,49
5,4,49,709,2017-12-05,2017,12,49
8,8,88,708,2017-12-06,2017,12,49
15,2,87,707,2017-12-07,2017,12,49
7,1,41,706,2017-12-08,2017,12,49
7,11,101,705,2017-12-09,2017,12,49
11,15,145,704,2017-12-10,2017,12,49
14,8,118,703,2017-12-11,2017,12,50
9,12,117,702,2017-12-12,2017,12,50
5,12,97,701,2017-12-13,2017,12,50
13,1,71,700,2017-12-14,2017,12,50
12,13,138,699,2017-12-15,2017,12,50
5,6,61,698,2017-12-16,2017,12,50
13,10,125,697,2017-12-17,2017,12,50
9,11,111,696,2017-12-18,2017,12,51
7,8,83,695,2017-12-19,2017,12,51
11,7,97,694,2017-12-20,2017,12,51
1,12,77,693,2017-12-21,2017,12,51
7,2,47,692,2017-12-22,2017,12,51
7,10,95,691,2017-12-23,2017,12,51
12,12,132,690,2017-12-24,2017,12,51
1,10,65,689,2017-12-25,2017,12,52
12,10,120,688,2017-12-26,2017,12,52
2,7,52,687,2017-12-27,2017,12,52
13,12,137,686,2017-12-28,2017,12,52
12,6,96,685,2017-12-29,2017,12,52
2,14,94,684,2017-12-30,2017,12,52
13,7,107,683,2017-12-31,2017,12,52
6,4,54,682,2018-01-01,2018,01,01
14,15,160,681,2018-01-02,2018,01,01
2,10,70,680,2018-01-03,2018,01,01
15,2,87,679,2018-01-04,2018,01,01
13,7,107,678,2018-01-05,2018,01,01
5,12,97,677,2018-01-06,2018,01,01
9,7,87,676,2018-01-07,2018,01,01
7,1,41,675,2018-01-08,2018,01,02
5,15,115,674,2018-01-09,2018,01,02
5,11,91,673,2018-01-10,2018,01,02
4,7,62,672,2018-01-11,2018,01,02
11,5,85,671,2018-01-12,2018,01,02
9,2,57,670,2018-01-13,2018,01,02
15,1,81,669,2018-01-14,2018,01,02
5,13,103,668,2018-01-15,2018,01,03
2,8,58,667,2018-01-16,2018,01,03
9,7,87,666,2018-01-17,2018,01,03
2,14,94,665,2018-01-18,2018,01,03
1,2,17,664,2018-01-19,2018,01,03
4,1,26,663,2018-01-20,2018,01,03
12,11,126,662,2018-01-21,2018,01,03
5,15,115,661,2018-01-22,2018,01,04
6,11,96,660,2018-01-23,2018,01,04
5,9,79,659,2018-01-24,2018,01,04
11,15,145,658,2018-01-25,2018,01,04
12,9,114,657,2018-01-26,2018,01,04
4,2,32,656,2018-01-27,2018,01,04
6,13,108,655,2018-01-28,2018,01,04
9,13,123,654,2018-01-29,2018,01,05
9,7,87,653,2018-01-30,2018,01,05
12,5,90,652,2018-01-31,2018,01,05
1,6,41,651,2018-02-01,2018,02,05
2,7,52,650,2018-02-02,2018,02,05
15,15,165,649,2018-02-03,2018,02,05
10,15,140,648,2018-02-04,2018,02,05
7,3,53,647,2018-02-05,2018,02,06
14,12,142,646,2018-02-06,2018,02,06
10,3,68,645,2018-02-07,2018,02,06
4,9,74,644,2018-02-08,2018,02,06
8,10,100,643,2018-02-09,2018,02,06
13,15,155,642,2018-02-10,2018,02,06
7,1,41,641,2018-02-11,2018,02,06
2,1,16,640,2018-02-12,2018,02,07
7,7,77,639,2018-02-13,2018,02,07
14,3,88,638,2018-02-14,2018,02,07
11,2,67,637,2018-02-15,2018,02,07
9,10,105,636,2018-02-16,2018,02,07
6,2,42,635,2018-02-17,2018,02,07
4,9,74,634,2018-02-18,2018,02,07
11,6,91,633,2018-02-19,2018,02,08
11,9,109,632,2018-02-20,2018,02,08
4,15,110,631,2018-02-21,2018,02,08
7,12,107,630,2018-02-22,2018,02,08
12,12,132,629,2018-02-23,2018,02,08
4,12,92,628,2018-02-24,2018,02,08
9,6,81,627,2018-02-25,2018,02,08
13,1,71,626,2018-02-26,2018,02,09
14,6,106,625,2018-02-27,2018,02,09
10,13,128,624,2018-02-28,2018,02,09
1,5,35,623,2018-03-01,2018,03,09
14,7,112,622,2018-03-02,2018,03,09
15,10,135,621,2018-03-03,2018,03,09
3,7,57,620,2018-03-04,2018,03,09
9,1,51,619,2018-03-05,2018,03,10
14,2,82,618,2018-03-06,2018,03,10
2,1,16,617,2018-03-07,2018,03,10
5,9,79,616,2018-03-08,2018,03,10
1,11,71,615,2018-03-09,2018,03,10
14,8,118,614,2018-03-10,2018,03,10
6,11,96,613,2018-03-11,2018,03,10
6,13,108,612,2018-03-12,2018,03,11
9,14,129,611,2018-03-13,2018,03,11
4,8,68,610,2018-03-14,2018,03,11
9,6,81,609,2018-03-15,2018,03,11
11,11,121,608,2018-03-16,2018,03,11
6,14,114,607,2018-03-17,2018,03,11
9,9,99,606,2018-03-18,2018,03,11
6,5,60,605,2018-03-19,2018,03,12
8,8,88,604,2018-03-20,2018,03,12
14,9,124,603,2018-03-21,2018,03,12
11,7,97,602,2018-03-22,2018,03,12
4,10,80,601,2018-03-23,2018,03,12
8,11,106,600,2018-03-24,2018,03,12
14,13,148,599,2018-03-25,2018,03,12
6,12,102,598,2018-03-26,2018,03,13
15,15,165,597,2018-03-27,2018,03,13
9,10,105,596,2018-03-28,2018,03,13
7,1,41,595,2018-03-29,2018,03,13
13,9,119,594,2018-03-30,2018,03,13
2,14,94,593,2018-03-31,2018,03,13
6,12,102,592,2018-04-01,2018,04,13
13,2,77,591,2018-04-02,2018,04,14
10,14,134,590,2018-04-03,2018,04,14
15,11,141,589,2018-04-04,2018,04,14
13,11,131,588,2018-04-05,2018,04,14
9,14,129,587,2018-04-06,2018,04,14
11,1,61,586,2018-04-07,2018,04,14
8,10,100,585,2018-04-08,2018,04,14
6,11,96,584,2018-04-09,2018,04,15
3,5,45,583,2018-04-10,2018,04,15
8,11,106,582,2018-04-11,2018,04,15
14,2,82,581,2018-04-12,2018,04,15
7,14,119,580,2018-04-13,2018,04,15
10,15,140,579,2018-04-14,2018,04,15
9,14,129,578,2018-04-15,2018,04,15
14,10,130,577,2018-04-16,2018,04,16
3,10,75,576,2018-04-17,2018,04,16
4,12,92,575,2018-04-18,2018,04,16
13,9,119,574,2018-04-19,2018,04,16
1,1,11,573,2018-04-20,2018,04,16
6,3,48,572,2018-04-21,2018,04,16
1,15,95,571,2018-04-22,2018,04,16
9,12,117,570,2018-04-23,2018,04,17
7,6,71,569,2018-04-24,2018,04,17
3,9,69,568,2018-04-25,2018,04,17
13,1,71,567,2018-04-26,2018,04,17
15,11,141,566,2018-04-27,2018,04,17
5,6,61,565,2018-04-28,2018,04,17
14,3,88,564,2018-04-29,2018,04,17
3,10,75,563,2018-04-30,2018,04,18
5,11,91,562,2018-05-01,2018,05,18
1,11,71,561,2018-05-02,2018,05,18
12,8,108,560,2018-05-03,2018,05,18
12,12,132,559,2018-05-04,2018,05,18
7,7,77,558,2018-05-05,2018,05,18
7,1,41,557,2018-05-06,2018,05,18
3,1,21,556,2018-05-07,2018,05,19
13,9,119,555,2018-05-08,2018,05,19
14,8,118,554,2018-05-09,2018,05,19
7,3,53,553,2018-05-10,2018,05,19
10,1,56,552,2018-05-11,2018,05,19
13,5,95,551,2018-05-12,2018,05,19
13,1,71,550,2018-05-13,2018,05,19
11,14,139,549,2018-05-14,2018,05,20
5,3,43,548,2018-05-15,2018,05,20
10,15,140,547,2018-05-16,2018,05,20
14,12,142,546,2018-05-17,2018,05,20
8,8,88,545,2018-05-18,2018,05,20
6,6,66,544,2018-05-19,2018,05,20
2,12,82,543,2018-05-20,2018,05,20
6,13,108,542,2018-05-21,2018,05,21
3,6,51,541,2018-05-22,2018,05,21
6,3,48,540,2018-05-23,2018,05,21
13,10,125,539,2018-05-24,2018,05,21
11,3,73,538,2018-05-25,2018,05,21
5,15,115,537,2018-05-26,2018,05,21
2,15,100,536,2018-05-27,2018,05,21
3,7,57,535,2018-05-28,2018,05,22
10,11,116,534,2018-05-29,2018,05,22
5,14,109,533,2018-05-30,2018,05,22
14,4,94,532,2018-05-31,2018,05,22
7,2,47,531,2018-06-01,2018,06,22
10,9,104,530,2018-06-02,2018,06,22
12,14,144,529,2018-06-03,2018,06,22
10,11,116,528,2018-06-04,2018,06,23
13,13,143,527,2018-06-05,2018,06,23
4,10,80,526,2018-06-06,2018,06,23
11,5,85,525,2018-06-07,2018,06,23
6,13,108,524,2018-06-08,2018,06,23
10,9,104,523,2018-06-09,2018,06,23
7,7,77,522,2018-06-10,2018,06,23
15,8,123,521,2018-06-11,2018,06,24
3,7,57,520,2018-06-12,2018,06,24
12,9,114,519,2018-06-13,2018,06,24
9,1,51,518,2018-06-14,2018,06,24
7,14,119,517,2018-06-15,2018,06,24
10,9,104,516,2018-06-16,2018,06,24
15,15,165,515,2018-06-17,2018,06,24
8,8,88,514,2018-06-18,2018,06,25
15,15,165,513,2018-06-19,2018,06,25
13,3,83,512,2018-06-20,2018,06,25
6,8,78,511,2018-06-21,2018,06,25
2,1,16,510,2018-06-22,2018,06,25
3,11,81,509,2018-06-23,2018,06,25
10,12,122,508,2018-06-24,2018,06,25
2,1,16,507,2018-06-25,2018,06,26
2,9,64,506,2018-06-26,2018,06,26
14,5,100,505,2018-06-27,2018,06,26
7,4,59,504,2018-06-28,2018,06,26
7,7,77,503,2018-06-29,2018,06,26
6,3,48,502,2018-06-30,2018,06,26
10,15,140,501,2018-07-01,2018,07,26
7,2,47,500,2018-07-02,2018,07,27
10,8,98,499,2018-07-03,2018,07,27
9,7,87,498,2018-07-04,2018,07,27
12,1,66,497,2018-07-05,2018,07,27
12,12,132,496,2018-07-06,2018,07,27
9,13,123,495,2018-07-07,2018,07,27
13,15,155,494,2018-07-08,2018,07,27
7,9,89,493,2018-07-09,2018,07,28
8,8,88,492,2018-07-10,2018,07,28
2,8,58,491,2018-07-11,2018,07,28
8,11,106,490,2018-07-12,2018,07,28
2,11,76,489,2018-07-13,2018,07,28
14,4,94,488,2018-07-14,2018,07,28
11,13,133,487,2018-07-15,2018,07,28
4,9,74,486,2018-07-16,2018,07,29
5,7,67,485,2018-07-17,2018,07,29
8,15,130,484,2018-07-18,2018,07,29
4,6,56,483,2018-07-19,2018,07,29
13,7,107,482,2018-07-20,2018,07,29
10,8,98,481,2018-07-21,2018,07,29
12,3,78,480,2018-07-22,2018,07,29
9,5,75,479,2018-07-23,2018,07,30
6,12,102,478,2018-07-24,2018,07,30
3,10,75,477,2018-07-25,2018,07,30
11,12,127,476,2018-07-26,2018,07,30
11,2,67,475,2018-07-27,2018,07,30
2,12,82,474,2018-07-28,2018,07,30
15,8,123,473,2018-07-29,2018,07,30
8,1,46,472,2018-07-30,2018,07,31
3,12,87,471,2018-07-31,2018,07,31
5,4,49,470,2018-08-01,2018,08,31
2,10,70,469,2018-08-02,2018,08,31
10,4,74,468,2018-08-03,2018,08,31
2,8,58,467,2018-08-04,2018,08,31
1,11,71,466,2018-08-05,2018,08,31
3,3,33,465,2018-08-06,2018,08,32
1,13,83,464,2018-08-07,2018,08,32
1,3,23,463,2018-08-08,2018,08,32
15,14,159,462,2018-08-09,2018,08,32
11,8,103,461,2018-08-10,2018,08,32
12,12,132,460,2018-08-11,2018,08,32
5,13,103,459,2018-08-12,2018,08,32
4,13,98,458,2018-08-13,2018,08,33
13,3,83,457,2018-08-14,2018,08,33
10,15,140,456,2018-08-15,2018,08,33
12,14,144,455,2018-08-16,2018,08,33
9,6,81,454,2018-08-17,2018,08,33
5,15,115,453,2018-08-18,2018,08,33
6,7,72,452,2018-08-19,2018,08,33
12,13,138,451,2018-08-20,2018,08,34
4,13,98,450,2018-08-21,2018,08,34
5,7,67,449,2018-08-22,2018,08,34
4,10,80,448,2018-08-23,2018,08,34
6,9,84,447,2018-08-24,2018,08,34
10,15,140,446,2018-08-25,2018,08,34
15,6,111,445,2018-08-26,2018,08,34
3,14,99,444,2018-08-27,2018,08,35
8,12,112,443,2018-08-28,2018,08,35
15,13,153,442,2018-08-29,2018,08,35
8,15,130,441,2018-08-30,2018,08,35
8,13,118,440,2018-08-31,2018,08,35
12,5,90,439,2018-09-01,2018,09,35
15,2,87,438,2018-09-02,2018,09,35
11,6,91,437,2018-09-03,2018,09,36
2,10,70,436,2018-09-04,2018,09,36
15,1,81,435,2018-09-05,2018,09,36
14,4,94,434,2018-09-06,2018,09,36
6,15,120,433,2018-09-07,2018,09,36
4,2,32,432,2018-09-08,2018,09,36
12,7,102,431,2018-09-09,2018,09,36
2,2,22,430,2018-09-10,2018,09,37
13,2,77,429,2018-09-11,2018,09,37
8,15,130,428,2018-09-12,2018,09,37
3,3,33,427,2018-09-13,2018,09,37
2,5,40,426,2018-09-14,2018,09,37
3,11,81,425,2018-09-15,2018,09,37
14,9,124,424,2018-09-16,2018,09,37
11,5,85,423,2018-09-17,2018,09,38
14,12,142,422,2018-09-18,2018,09,38
6,10,90,421,2018-09-19,2018,09,38
14,8,118,420,2018-09-20,2018,09,38
9,4,69,419,2018-09-21,2018,09,38
3,2,27,418,2018-09-22,2018,09,38
7,12,107,417,2018-09-23,2018,09,38
12,7,102,416,2018-09-24,2018,09,39
7,4,59,415,2018-09-25,2018,09,39
12,15,150,414,2018-09-26,2018,09,39
7,2,47,413,2018-09-27,2018,09,39
10,5,80,412,2018-09-28,2018,09,39
9,12,117,411,2018-09-29,2018,09,39
2,14,94,410,2018-09-30,2018,09,39
6,4,54,409,2018-10-01,2018,10,40
8,11,106,408,2018-10-02,2018,10,40
6,9,84,407,2018-10-03,2018,10,40
10,9,104,406,2018-10-04,2018,10,40
12,13,138,405,2018-10-05,2018,10,40
5,3,43,404,2018-10-06,2018,10,40
15,7,117,403,2018-10-07,2018,10,40
7,13,113,402,2018-10-08,2018,10,41
6,11,96,401,2018-10-09,2018,10,41
15,6,111,400,2018-10-10,2018,10,41
12,1,66,399,2018-10-11,2018,10,41
9,5,75,398,2018-10-12,2018,10,41
14,13,148,397,2018-10-13,2018,10,41
12,4,84,396,2018-10-14,2018,10,41
6,9,84,395,2018-10-15,2018,10,42
10,2,62,394,2018-10-16,2018,10,42
12,3,78,393,2018-10-17,2018,10,42
11,8,103,392,2018-10-18,2018,10,42
8,5,70,391,2018-10-19,2018,10,42
9,1,51,390,2018-10-20,2018,10,42
6,2,42,389,2018-10-21,2018,10,42
14,12,142,388,2018-10-22,2018,10,43
11,13,133,387,2018-10-23,2018,10,43
10,14,134,386,2018-10-24,2018,10,43
2,3,28,385,2018-10-25,2018,10,43
5,10,85,384,2018-10-26,2018,10,43
4,7,62,383,2018-10-27,2018,10,43
2,4,34,382,2018-10-28,2018,10,43
13,3,83,381,2018-10-29,2018,10,44
6,2,42,380,2018-10-30,2018,10,44
6,4,54,379,2018-10-31,2018,10,44
6,2,42,378,2018-11-01,2018,11,44
5,9,79,377,2018-11-02,2018,11,44
11,14,139,376,2018-11-03,2018,11,44
6,8,78,375,2018-11-04,2018,11,44
12,8,108,374,2018-11-05,2018,11,45
4,10,80,373,2018-11-06,2018,11,45
7,13,113,372,2018-11-07,2018,11,45
3,2,27,371,2018-11-08,2018,11,45
7,6,71,370,2018-11-09,2018,11,45
14,8,118,369,2018-11-10,2018,11,45
14,7,112,368,2018-11-11,2018,11,45
4,11,86,367,2018-11-12,2018,11,46
